COMPANY,CEO,TOWN,HQ,Field,email,phone
BOURSE DES VALEURS MOBILIÈRES DE L’AFRIQUE CENTRALE (BVMAC), Monsieur Jean-Claude Ngbwa (Directeur général), DOUALA, Akwa, Commerce des valeurs mobilières, info@bvmac-ac.org, 233 43 85 83
3T CAMEROUN, Monsieur Gaël FOTSO (Directeur Général), DOUALA," Zone portuaire, entrée nord"," Transport routier, aérien, maritime, Transit, Acconage, Manutention, Consignation des navires, Entreposage, Groupage et Dégroupage", 3t@tafinvestment.com, 233 40 41 70/ 233 40 41 72
ABB (ASEA BROWN BOVERI), Monsieur KABEYA (Directeur général), DOUALA," Bassa, ndokoti", Energie & Automation, anne.messina@cm.abb.com, 233 37 82 53/54
ABIOGeT, Monsieur Clément Sofalne (D.G), MAROUA," Maroua (Bureau CNPS, local B-1.1", Foresterie - Protection de l'environnement - Technologies propres, contact@abioget.org, 695190791
AC2P (ASSOCIATION CAMEROUNAISE DES PROFESSIONNELS DE LA PLASTURGIE ), Monsieur WAFO FOKO Emmanuel(Président), DOUALA, Bassa- Ndokoti locaux Mitchimie, Plasturgie, ac2p2013@gmail.com, 233 40 45 29/694 03 85 95
ACAM VIE S.A, Monsieur Aymric A. KAMEGA KAMEGA (Président), DOUALA," Bonanjo, Rue de la Motte Piquet, Face Sitabac", Assurances Vie, service.clients@acamvie.com, 679 453 227 / 683 945 617
ACE (African Consulting Entreprise), Monsieur Benoît ATANGANA ONANA(Directeur général), DOUALA," Akwa, immeuble Erns&yong, face direction orange", Cabinet conseil, baoace@yahoo.fr, 233 42  81 12/ 696 17 98 57
ACTIVA ASSURANCES, Monsieur  Richard LOWE(Président directeur général), DOUALA, Akwa," Assurances vie, voyage, santé", activa.assur@group-activa.com, 233 43 45 05 / 233 50 13 00
ADDAX PETROLEUM CAMEROON Ltd, Monsieur Roger BEAUMONT(Président Directeur Général), DOUALA, Zone portuaire -Youpwe, Exploitation et Production pétrolière, philomen.edjimbi@cm.addaxpetroleum.com, 233 43 57 00
ADIC (African Distilling Company SA), Monsieur NOUCTI Tchokwago (Président directeur général), DOUALA, Bonabéri, Producteur d'alcool et liqueurs, adic2@yahoo.fr, 233 39 15 84 / 233 39 15 86
AFRICA BUSINESS CENTER, Monsieur Désire  MAKAN II (D.G), YAOUNDE," Yaoundé, Intendance, face Tribunal militaire", Conseils en gestion d'entreprises, contact@africa-business-centers.com, 237  243 566 250  / 237 243 778 193
AFRICA PREMIUM CONSULTING, Monsieur Victor Marie FOTSO, DOUALA," Bali, Rue Prince Bell", Conseil en commerce international, africa.hstandards@gmail.com, 243088080
AFRICA WORKS, Madame Anne Hermine NGO MAHOP (D.G), YAOUNDE, Avenue Manga Bell," Entretien et Nettoyage, Espaces verts", africaworks2006@yahoo.fr, 233421731
AFRILAND FIRST BANK, Monsieur Alphonse NAFACK(Directeur général), DOUALA," Yaoundé, Hypodromme, face Hôtel de ville", Services bancaires, firstbank@afrilandfirstbank.com; nafalph@yahoo.fr, 233426800/233421499/ 222 23 91 56 /2 22 23 63 27/222 23 30 68
AFRIMAR S.A., Monsieur Jean MELI(Administrateur Directeur général), DOUALA," Bonanjo, messapresse"," transit,manutention,commission de transport, commission en douane agrée, logistique", afrimarsa@afrimarsa.com, 233 43 76 21/233422471/233422473
AFRIQUE AUDIT CONSEIL, Monsieur Chrétien TOUDJUI POUANSI (Directeur Général), DOUALA," AKWA, Immeuble SOCAR, P. 404, entrée C", Audit-Expertise Comptable-Conseil, contact@aacbti.com, 233 42 21 03
AFRO PETRO & BUSINESS SOLUTIONS, Monsieur TCHOUKA SINGUE Arron (Directeur Général), DOUALA," Bessengue feu rouge, 5ème étage Immeuble Azzicul", Conseils et études en industries extractives, enquiries@afropbs.com, 233416348
AG PARTNERS CAMEROUN PUBLICIS AFRICA GROUP, Monsieur Mathias NGAKO(Gérant/Associé), DOUALA," Bonapriso, rue koloko", Agence conseil en communication, mathias.ngako@ag-partners.com/  info@-partners.com, 233 42 22 14
AGGREKO CAMEROUN Ltd, Monsieur Marc VATEL(Directeur général), DOUALA," Zone portuaire, entrée nord", Distribution générale -Energie- Location, line.tcheng@aggreko.ae, 678 26 56 95
AGPC (Association pharmaceutique des grossistes du Cameroun), Monsieur Prosper HIAG(Président), DOUALA, Face Direction générale ORANGE - Rue à côté de la station Total - même local que Graphic Industries, Pharmaciens grossistes, prosperhiag@yahoo.fr, 233 43 42 29/ 675 29 51 30/ 699 78 65 44
AGROCHEM, MONSIEUR IMAD MOUSSA SAID (Directeur Général), Douala," Akwa,ru e Joffre, face CFAO Technologie", Commercialisation des Intrants agricoles," agrochem.cm@gmail.com, agrochem.cm@gmail.com", 233425871
AIGLE VOYAGES, Madame Jeanne Bernadette Sangang (Directeur Général), DOUALA," Akwa, Rue des écoles, Face Idéal, plaque murale n°548"," Vente billets d'avion, bureau de change, tourisme"," bjeanne.sangang@aigle_voyages.com , sabetty@yahoo.fr", 699 91 25 89
AJC GRAPHIC, Monsieur Joël Merlin YOUMBI(Directeur général), DOUALA, Akwa," Imprimerie, prestation de services", info@ajcgraphic.com, 233 42 26 01 / 233 43 39 12/233 43 39 16
AKWA PALACE, Monsieur Olivier SOHAINGl (Directeur Général), DOUALA, Akwa," Hôtellerie, restauration", contact@hotel-akwa-palace.com, 233 42 08 08 / 233 42 08 10/233 42 74 78
ALIOS FINANCES CAMEROUN, Monsieur Georges Fotso (Directeur général), DOUALA," AKWA, à coté du Centenaire"," Crédit automobile, Crédit bail, location longue durée, le petit équipement, lease back", cameroun@alios-finance.com, 233 50 20 00
ALLIANZ CAMEROUN, Monsieur Olivier MALATRE (Directeur Général), DOUALA, Bonanjo, Assurances dommages et assurances vie, allianz.cameroun@allianz-cm.com, 233 43 98 83
ALM CONSULTANTS, Monsieur Roger LOCK(Président directeur général), DOUALA," Akwa, face immeuble Kadji, derrière Tsekenis", Cabinet conseil en QHSE, alm@almconsultants.com, 233 39 19 79 / 233 39 48 33
ALPICAM (Alpi Pietro et Fils Cameroun Sarl), Monsieur Giorgio GIORGETTI (Directeur général), DOUALA, Bonaberi," Placages déroulés, Contreplaqués, Débités, Grumes", giorgio.giorgetti@alpiwood.com, 233 50 30 00 (dla) 233504400 (edea)
ALUCAM (Aluminium du Cameroun), Monsieur Alain MALONG(Directeur général), DOUALA," Akwa, face immeuble Kadji, derrière Tsekenis", Lingots et Plaques d'aluminium, communication.alucam@groupealucam.com, 677703224
AMD Sarl (Aciers et Métaux Divers), Monsieur Michel KAMGUE (Directeur Général), DOUALA," Zone Portuaire Nord, base Elf derrière TAC, vers Frielander", Commercialisation matériaux de construction, amd@aciersetmetaux.com, 233 42 96 12 / 233 42 31 97/ 699 89 09 29 / 677 70 75 10
APAVE CAMEROUN, Monsieur François VANDENABELE (Directeur Général), YAOUNDE, Akwa," Conseil en organisation et RH, recrutement et gestion des carrières et des compétences, formation professionnelle, contrôle de construction, conseil en QHSE-Métrologie", apave.contact@apavecameroun.com, 222 23 54 01
APECCAM (Association Professionnelle des Etablissements de Crédit du Cameroun), Monsieur NAFACK Alphonse(Président), DOUALA, Immeuble Afriland Yadouné, Etablissements de crédit, apeccam@camnet.cm, 233434777
APM SA (Agence de Prestations Maritimes), Monsieur Gabriel MANIMBEN(Directeur général), DOUALA," Bonanjo, Zone portuaire"," Prestations maritimes, Transit et acconage", info@apmmaritime.com, 233 43 81 97 / 233 43 82 32
AREA ASSURANCES, Monsieur Jacob SINDZE(Directeur général), DOUALA," Akwa, rond point salle des fêtes", Assurances et réassurance, area@areaassurance.com, 233 42 06 68 / 233 42 07 02
ASAC (ASSOCIATION DES SOCIETES D'ASSURANCES DU CAMEROUN), Monsieur Théophile Gérard Moulong(Président), DOUALA," Akwa , Locaux CPA, face immeuble socar", Assurances, asac_douala@yahoo.fr, 233 43 11 45 /233 00 70 89
ASCESE, Madame Mireille FOMEKONG(Gérante associée), DOUALA," Akwa, derrière Banque PME", Communication et Marketing, ascesecom@yahoo.fr, 233 42 08 39/233 42 65 33 / 233 42 80 80
ASCOMA CAMEROUN, Monsieur Philippe BETI (Directeur général), DOUALA," Akwa, À coté MTN", Intermédiaire  d'assurance, cameroun@ascoma.com; grace.mbongo@ascoma.com, 233 37 36 01 / 233 37 18 66
ASQUINI ENCORAD, Monsieur Michel NGAPANOUN(Président directeur général), DOUALA," Bassa, à coté Hysacam", Bâtiments - Travaux Publics, info@asquini-encorad.com, 233 42 71 59
AT GRAPHILINE INDUSTRY, Augustin TEKAM (DG), Douala," Ancienne route Bonabéri, quartier Bonamikano"," Imprimerie, conception, édition, sérigraphie, flexographie, signalétique", graphiline@yahoo.fr / graphiline@at-graphiline.com, 243 89 88 54 / 651 80 49 28
ATLANTIQUE ASSURANCES CAMEROUN-IARDT, Monsieur Norbert NGNIWAKE (Directeur Général), DOUALA, Bonanjo Ancien immeuble SAGA, Opérations d'Assurances, contact@atlantiqueassurances.com, 233 42 04 34/ 233 42 48 96/ 233 42 05 06
AUDITEC FOIRIER CONSULTING S.A, Monsieur Michel KANGMENI YOSSA(Directeur général), DOUALA," bonabérie, zone industrielle"," Expertise Comptable, audit et commissariat aux comptes, Assistance juridique et fiscale", info@auditechc-foirier.com, 233 41 49 56/ 677 42 12 59
AURORE  METAL INDUSTRY Sarl, Monsieur Serge YEMGA TCHOUKWI (Directeur général), DOUALA," Makepe, Face entrée chefferie Missoke", Construction métallique, auroreservicesexpress@yahoo.fr, 237 233 425 586
AUTOHAUS S.A., Monsieur Christian KOUAM DZUKOU(Diercteur général), YAOUNDE," Akwa, face Lycée Technique"," Concessionaire automobile, commerce des pièces de rechange, garage", contact@autohaus-cameroon.com, 222 23 73 16 / 222 23 73 17
AUTORITE PORTUAIRE NATIONALE, Monsieur Josué YOUMBA(Directeur général), DOUALA," Hypodromme, Unicef", Supervision du secteur portuaire, apn@camnet.cm,"  699915733, 699635965"
